#------------------------------------------------------------------------------------------------------------------
# Dados do sistema Baran Wu.
#------------------------------------------------------------------------------------------------------------------
param Vnom  := 13.80;		#Nominal line voltage (kV)
	 23 	24 		0.1905	  0.1769	  300		1   #	 CC3
	 24 	25 		0.0762	  0.0708	  300		1   #	 CC3
	 25 	26 		0.1494	  0.1070	  250		1   #	 CC2
	 26 	27 		0.1793	  0.1284	  250		1   #	 CC2
	 27 	28 		0.1993	  0.1427	  250		1   #		 CC2
	 28 	29 		0.0996	  0.0713	  250		1   #		 CC2
	 29 	30 		0.1196	  0.0856	  250		1   #	 CC2
	 28 	31 		0.0996	  0.0713	  250		1   #		 CC2
	 26 	32 		0.11440   0.0876	  200		1   #	 CC1
	 32 	33 		0.02860   0.02192	  200		1   #	 CC1
	 33 	34 		0.14300   0.10952	  200		1   #	 CC1
	 23 	35 		0.0300	  0.0331 	  350		1   #	CC4
	 35 	36 		0.1259	  0.1388 	  350		1   #	CC4
	 36 	37 		0.0300	  0.0331 	  350		1   #	CC4
	 37 	38 		0.0300	  0.0331 	  350		1   #	CC4
	 38 	39 		0.1259	  0.1388 	  350		1   #	CC4
	 38 	40 		0.0600	  0.0661	  350		1   #	 CC4
	 40 	41 		0.2059	  0.1577	  200		1   #	 CC1
	 40 	42 		0.2860	  0.2190	  200		1   #	 CC1
	 42 	43 		0.0572	  0.0438	  200		1   #	 CC1
	 40 	44 		0.0899	  0.0992 	  350		1   #	 CC4
	 44 	45 		0.1199	  0.1322 	  350		1   #		 CC4
	 38 	46 		0.1079	  0.1190 	  350		1   #	 CC4
	 46 	47 		0.0600	  0.0661 	  350		1   #		 CC4
	 47 	48 		0.0719	  0.0793 	  350		1   #	 CC4
	 48 	49 		0.1499	  0.1653 	  350		1   #	 CC4
	 49 	50 		0.0600	  0.0661 	  350		1   #		 CC4
	 50 	51 		0.1019	  0.1124 	  350		1   #	 CC4
	 48 	52 		0.0600	  0.0661 	  350		1   #		 CC4
	 52 	53 		0.2059	  0.1577	  200		1   #	 CC1
	 53 	54 		0.1716	  0.1314	  200		1   #	 CC1
	 54 	55 		0.1487	  0.1139	  200		1   #	 CC1
	 52 	56 		0.1144	  0.0876	  200		1   #		 CC1
	 56 	57 		0.2746	  0.2103	  200		1   #	 CC1
	 57 	58 		0.2860	  0.2190	  200		1   #	 CC1
	 57 	59 		0.2059	  0.1577	  200		1   #	 CC1
	 59 	60 		0.1144	  0.0876	  200		1   #		 CC1
	 48 	61 		0.1199	  0.1322 	  350		1   #	 CC4
	 61 	62 		0.0300	  0.0331 	  350		1   #	CC4
	 62 	63 		0.1499	  0.1653 	  350		1   #	CC4
	 63 	64 		0.1143	  0.1062	  300		1   #	 CC3
	 64 	65 		0.0762	  0.0708	  300		1   #		 CC3
	 65 	66 		0.1143	  0.1062	  300		1   #	 CC3
	 66 	67 		0.0762	  0.0708	  300		1   #		 CC3
	 67 	68 		0.1716	  0.1314	  200		1   #	 CC1
	 67 	69 		0.1144	  0.0876	  200		1   #		 CC1
	 69 	70 		0.1144	  0.0876	  200		1   #		 CC1
	 67 	71 		0.1905	  0.1769	  300		1   #	 CC3
	 71 	72 		0.1524	  0.1415	  300		1   #		 CC3
	 72 	73 		0.1524	  0.1415	  300		1   #		 CC3
	 73 	74 		0.0762	  0.0708	  300		1   #		 CC3
	 74 	75 		0.0838	  0.0778	  300		1   #	 CC3
	 63 	76 		0.0600	  0.0661 	  350		1   #	 CC4
	 76 	77 		0.0899	  0.0992 	  350		1   #	 CC4
	 77 	78 		0.1499	  0.1653 	  350		1   #	 CC4
	 78 	79 		0.1259	  0.1388 	  350		1   #	 CC4
	 79 	80 		0.1259	  0.1388 	  350		1   #	 CC4
	 80 	81 		0.0899	  0.0992 	  350		1   #	 CC4
	 81 	82 		0.0899	  0.0992 	  350		1   #	 CC4
	 82 	83 		0.2860	  0.1653 	  200		1   #	 CC1
	 82 	84 		0.1499	  0.1653 	  350   	1   #	 CC4
	 84 	85 		0.0899	  0.0992 	  350   	1   #	 CC4
	 128	86 		0.0899	  0.0992 	  350   	1   #	 CC4
	 86 	87 		0.0600	  0.0661 	  350   	1   #		 CC4
	 78 	88 		0.1295	  0.0927	  250		1   #	 CC2
	 78 	89 		0.1499	  0.1653	  350		1   #	 CC4
	 89 	90 		0.1499	  0.1653	  350		1   #	 CC4
	 90 	91 		0.1079	  0.1190	  350		1   #	 CC4
	 91 	92 		0.0600	  0.0661	  350		1   #		 CC4
	 92 	93 		0.1494	  0.1070	  250		1   #	 CC2
	 92 	94 		0.2092	  0.1498	  250		1   #	 CC2
	 92 	95 		0.0600	  0.0661	  350		1   #		 CC4
	 95 	96 		0.1993	  0.1427	  250		1   #		 CC2
	 95 	97 		0.2491	  0.1783	  250		1   #	 CC2
	 97 	98 		0.1793	  0.1284	  250		1   #	 CC2
	 98 	99 		0.1258	  0.0964	  200		1   #	 CC1
	 98 	100 	0.1993	  0.1427	  250		1   #		 CC2
	 100 	101 	0.1096	  0.0785	  250		1   #	 CC2
	 95 	102 	0.1079	  0.1190	  350		1   #	 CC4
	 102 	103 	0.1199	  0.1322	  350		1   #		 CC4
	 103 	104 	0.1143	  0.1062	  300		1   #	 CC3
	 103 	105 	0.1143	  0.1062	  300		1   #	 CC3
	 105 	106 	0.1600	  0.1486	  300		1   #	 CC3
	 106 	107 	0.1143	  0.1062	  300		1   #	 CC3
	 107 	108 	0.0762	  0.0708	  300		1   #		 CC3
	 108 	109 	0.1144	  0.0876	  200		1   #		 CC1
	 109 	110 	0.1716	  0.1314	  200		1   #	 CC1
	 110 	111 	0.1144	  0.0876	  200		1   #		 CC1
	 107 	112 	0.1295	  0.1203	  300		1   #	 CC3
	 112 	113 	0.0838	  0.0778	  300		1   #	 CC3
	 113 	114 	0.1258	  0.0964	  200		1   #	 CC1
	 113 	115 	0.5720	  0.4381	  200		1   #		 CC1
	 115 	116 	0.3432	  0.2629	  200		1   #		 CC1
	 116 	117 	0.5720	  0.4381	  200		1   #		 CC1
	 117 	118 	0.6864	  0.5257	  200		1   #		 CC1
	 90 	119 	0.2092	  0.1498	  250		1   #	 CC2
	 119 	120 	0.2092	  0.1498	  250		1   #	 CC2
	 120 	121 	0.2092	  0.1498	  250		1   #	 CC2
	 119 	122 	0.2690	  0.1926	  250		1   #	 CC2
	 122 	123 	0.1487	  0.1139	  200		1   #	 CC1
	 123 	124 	0.1144	  0.0876	  200		1   #		 CC1
	 123 	125 	0.1144	  0.0876	  200		1   #		 CC1
	 125 	126 	0.6178	  0.4731	  200		1   #	 CC1
	 126 	127 	0.2288	  0.1752	  200		1   #		 CC1
	 85  	128 	0.0600	  0.0661	  350		1   #		 CC4
	 128 	129 	0.1793	  0.1284 	  250		1   #	 CC2
	 104 	130 	0.1600	  0.1498	  300		1   #	 CC3
	 130 	131 	0.0762	  0.0708	  300		1   #		 CC3
	 130 	132 	0.0762	  0.0708	  300		1   #		 CC3
	 132 	133 	0.1524	  0.1415	  300		1   #		 CC3
	 133 	134 	0.1524	  0.1415	  300		1   #		 CC3
;
# Tc = tipo de consumidor
param : N:  Tb    SMAX      PD      QD   Lambda     Tc:=
#      Bus Type    		   (kW)   (kVAr)              
    1		1	   100000  0.00		    0.00		1		1
	2 		0	   0       0.00 		0.00 	    1		1
	3 		0	   0       41.40 		17.64       1		1
	4 		0	   0       0.0 		    0.00        1		1
	5 		0	   0       69.00 		29.39       1		1
	6 		0	   0       69.00 		29.39       1		1
	7 		0	   0       103.50 		44.09       1		1
	8 		0	   0       69.00 		29.39       1		1
	9 		0	   0       69.00 		29.39       1		1
	10 		0	   0       0.00 		0.00        1		1
	11 		0	   0       0.00		    0.00        1		1
	12 		0	   0       7.91 		3.37        1		1
	13 		0	   0       69.00 		29.39       1		1
	14 		0	   0       69.00 		29.39       1		1
	15 		0	   0       103.50 		44.09       1		1
	16 		0	   0       41.40 		17.64       1		1
	17 		0	   0       103.50 		44.09       1		1
	18 		0	   0       0.00 		0.00        1		1
	19 		0	   0       69.00 		29.39       1		1
	20 		0	   0       103.50 		44.09       1		1
	21 		0	   0       103.50 		44.09       1		1
	22 		0	   0       103.50 		44.09       1		1
	23 		0	   0       0.00 		0.00        1		1
	24 		0	   0       2.76 		1.18        1		1
	25 		0	   0       41.40 		17.64       1		1
	26 		0	   0       0.00 		0.00        1		1
	27 		0	   0       103.50 		44.09       1		1
	28 		0	   0       0.00 		0.00        1		1
	29 		0	   0       69.00 		29.39       1		1
	30 		0	   0       103.50 		44.09       1		1
	31 		0	   0       103.50 		44.09       1		1
	32 		0	   0       103.50 		44.09       1		1
	33 		0	   0       103.50 		44.09       1		1
	34 		0	   0       103.50 		44.09       1		1
	35 		0	   0       0.00 		0.00        1		1
	36 		0	   0       11.41 		4.86        1		1
	37 		0	   0       103.50 		44.09       1		1
	38 		0	   0       0.00 		0.00        1		1
	39 		0	   0       2.76 		1.18        1		1
	40 		0	   0       0.00 		0.00        1		1
	41 		0	   0       69.00 		29.39       1		1
	42 		0	   0       69.00 		29.39       1		1
	43 		0	   0       69.00 		29.39       1		1
	44 		0	   0       103.50 		44.09       1		1
	45 		0	   0       41.40 		17.64       1		1
	46 		0	   0       0.92 		0.39        1		1
	47 		0	   0       103.50 		44.09       1		1
	48 		0	   0       0.00 		0.00        1		1
	49 		0	   0       103.50 		44.09       1		1
	50 		0	   0       69.00 		29.39       1		1
	51 		0	   0       103.50 		44.09       1		1
	52 		0	   0       0.00 		0.00        1		1
	53 		0	   0       1.10 		0.47        1		1
	54 		0	   0       103.50 		44.09       1		1
	55 		0	   0       69.00 		29.39       1		1
	56 		0	   0       69.00 		29.39       1		1
	57 		0	   0       0.00 		0.00        1		1
	58 		0	   0       9.20 		3.92        1		1
	59 		0	   0       103.50 		44.09       1		1
	60 		0	   0       3.50 		1.49        1		1
	61 		0	   0       2.76 		1.18        1		1
	62 		0	   0       5.06 		2.16        1		1
	63 		0	   0       0.00	        0.00        1		1
	64 		0	   0       69.00 		29.39       1		1
	65 		0	   0       69.00 		29.39       1		1
	66 		0	   0       3.22 		1.37        1		1
	67 		0	   0       0.00 		0.00        1		1
	68 		0	   0       103.50 		44.09       1		1
	69 		0	   0       6.44 		2.74        1		1
	70 		0	   0       103.50 		44.09       1		1
	71 		0	   0       69.00 		29.39       1		1
	72 		0	   0       7.82 		3.33        1		1
	73 		0	   0       1.75 		0.74        1		1
	74 		0	   0       103.50 		44.09       1		1
	75 		0	   0       103.50 		44.09       1		1
	76 		0	   0       103.50 		44.09       1		1
	77 		0	   0       5.43 		2.31        1		1
	78 		0	   0       0.00 		0.00        1		1
	79 		0	   0       69.00 		29.39       1		1
	80 		0	   0       103.50 		44.09       1		1
	81 		0	   0       103.50 		44.09       1		1
	82 		0	   0       0.00 		0.00        1		1
	83 		0	   0       69.00 		29.39       1		1
	84 		0	   0       69.00 		29.39       1		1
	85 		0	   0       103.50 		44.09       1		1
	86 		0	   0       14.26 		6.07        1		1
	87 		0	   0       69.00 		29.39       1		1
	88 		0	   0       69.00 		29.39       1		1
	89 		0	   0       69.00 		29.39       1		1
	90 		0	   0       0.00 		0.00        1		1
	91 		0	   0       41.40 		17.64       1		1
	92 		0	   0       0.00 		0.00        1		1
	93 		0	   0       103.50 		44.09       1		1
	94 		0	   0       21.62 		9.21        1		1
	95 		0	   0       0.00 		0.00        1		1
	96 		0	   0       69.00 		29.39       1		1
	97 		0	   0       5.52 		2.35        1		1
	98 		0	   0       0.00 		0.00        1		1
	99 		0	   0       21.62 		9.21        1		1
	100		0	   0       69.00 		29.39       1		1
	101		0	   0       103.50 		44.09       1		1
	102		0	   0       103.50 		44.09       1		1
	103		0	   0       0.00 		0.00        1		1
	104		0	   0       69.00 		29.39       1		1
	105		0	   0       69.00 		29.39       1		1
	106		0	   0       99.82 		42.52       1		1
	107		0	   0       0.00 		0.00        1		1
	108		0	   0       0.00 		0.00        1		1
	109		0	   0       99.82 		42.52       1		1
	110		0	   0       103.50 		44.09       1		1
	111		0	   0       103.50 		44.09       1		1
	112		0	   0       69.00 		29.39       1		1
	113		0	   0       0.00 		0.00        1		1
	114		0	   0       0.00 		0.00        1		1
	115		0	   0       27.60 		11.76       1		1
	116		0	   0       27.60 		11.76       1		1
	117		0	   0       27.60 		11.76       1		1
	118		0	   0       27.60 		11.76       1		1
	119		0	   0       0.00 		0.00        1		1
	120		0	   0       0.00 		0.00        1		1
	121		0	   0       27.60 		11.76       1		1
	122		0	   0       50.60 		21.56       1		1
	123		0	   0       0.00 		0.00        1		1
	124		0	   0       14.26 		6.07        1		1
	125		0	   0       14.26 		6.07        1		1
	126		0	   0       41.40 		17.64       1		1
	127		0	   0       103.50 		44.09       1		1
	128		0	   0       0.00 		0.00        1		1
	129		0	   0       41.40 		17.64       1		1
	130		0	   0       0.00		    0.00        1		1
	131		0	   0       103.50 		44.09       1		1
	132		0	   0       0.00 		0.00        1		1
	133		0	   0       103.50 		44.09       1		1
	134		0	   0       103.50 		44.09       1		1

;

param: SC  : CostE_buy    FD            G    Prob:=
#            ($/MWh)    factor(%)  (W/m2)  
#0     1        1000         1          0         1
 0     1     39.0603    0.7172          0    0.5161
 0     2     39.3807    0.7508          0    0.4839
 1     1     35.7920    0.6436          0    0.4946
 1     2     35.5704    0.6756          0    0.5054
 2     1     32.0477    0.6405          0    0.5699
 2     2     31.8509    0.6102          0    0.4301
 3     1     30.1847    0.6216          0    0.4839
 3     2     29.8530    0.5912          0    0.5161
 4     1     29.1570    0.6127          0    0.5269
 4     2     29.1330    0.5810          0    0.4731
 5     1     29.0760    0.5805          0    0.4946
 5     2     29.2134    0.6106          0    0.5054
 6     1     30.8529    0.5965          0    0.5054
 6     2     30.8300    0.6267          0    0.4946
 7     1     31.7961    0.6265     3.4007    0.4194
 7     2     32.0733    0.6573     6.1583    0.5806
 8     1     39.8409    0.6934    79.7472    0.7204
 8     2     39.8919    0.6957   166.5838    0.2796
 9     1     49.1848    0.7404   237.3688    0.6452
 9     2     48.9844    0.7440   375.8199    0.3548
10     1     56.1698    0.7845   514.4403    0.7419
10     2     55.6461    0.7901   317.3915    0.2581
11     1     61.8916    0.8226   499.8283    0.5161
11     2     61.8557    0.8252   704.1819    0.4839
12     1     70.0591    0.8350   443.5695    0.2151
12     2     70.6119    0.8426   746.7011    0.7849
13     1     78.4633    0.8561   771.7238    0.7419
13     2     77.6765    0.8497   470.5044    0.2581
14     1     84.3627    0.8852   427.3525    0.2796
14     2     84.6194    0.8774   730.8263    0.7204
15     1     99.5252    0.8788   610.1022    0.7634
15     2     99.7215    0.8770   320.3366    0.2366
16     1    101.8263    0.8815   451.2369    0.7097
16     2    101.8070    0.8883   247.5174    0.2903
17     1     98.4442    0.8941   275.3579    0.4731
17     2     98.6859    0.8923   164.7494    0.5269
18     1     81.7759    0.8940    42.2131    0.7957
18     2     81.9793    0.9151    98.5539    0.2043
19     1     68.0189    0.9119     0.5972    0.5161
19     2     67.8116    0.8668     0.6035    0.4839
20     1     59.9751    0.8999          0    0.5376
20     2     59.7863    0.8565          0    0.4624
21     1     57.0711    0.9040          0    0.5269
21     2     56.7891    0.8579          0    0.4731
22     1     55.2928    0.8853          0    0.4839
22     2     55.6233    0.8452          0    0.5161
23     1     47.8404    0.8210          0    0.4946
23     2     47.6098    0.7806          0    0.5054
;

param: TipoCarga:    PZ    PI    PP    QZ    QI    QP :=
               1      0     0     1     0     0     1 #
               2    0.1   0.4   0.5     1     0     0 #
               3    0.5   0.5   0.0     1     0     0 #
;

#---- Dados VEs

param dEVaux := #kW
0 	0.36447840	
1 	0.35735744	
2 	0.32070192	
3 	0.28633088	
4 	0.25408240	
5 	0.23070784	
6 	0.22211728	
7 	0.21539584	
8 	0.30996268	
9 	0.37897012	
10	0.40844704	
11	0.42050492	
12	0.42960500	
13	0.43783584	
14	0.44586792	
15	0.45433064	
16	0.46107748	
17	0.46650877	
18	0.43413196	
19	0.42332600	
20	0.41912024	
21	0.42672460	
22	0.42362928	
23	0.36513136;


param locEV :
	   1	 2	   3	 4	   5:=
1      0     0     0     0     0
2      0     1     2     3     4
3      0     1     2     3     4
4      0     2     3     4     5
5      1     1     1     2     2
6      1     1     1     2     2
7      1     3     4     6     8
8      1     3     4     6     8
9      1     1     1     2     2
10     0     1     1     2     2
11     0     1     1     1     2
12     0     1     1     2     2
13     1     1     1     2     2
14     1     2     3     4     5
15     1     1     1     2     2
16     0     1     1     2     2
17     1     1     1     2     2
18     0     1     2     3     4
19     1     1     2     3     4
20     1     1     2     3     4
21     1     1     2     3     4
22     1     1     2     3     4
23     0     1     2     3     4
24     0     1	   2     2     2
25     0     1	   2     2     2
26     0     1     1     2     2
27     1     1     1     2     2
28     0     1     1     2     2
29     1     2     3     4     5
30     1     3     4     6     8
31     1     2     3     4     6
32     1     3     4     6     8
33     1     1     1     2     2
34 	   1	 0     0     0     0
35 	   0     1     2     3     4
36 	   0     1     2     3     4
37 	   1     2     3     4     5
38 	   0     1     1     2     2
39 	   0     1     1     2     2
40 	   0     3     4     6     8
41 	   1     3     4     6     8
42 	   1     1     1     2     2
43 	   1     1     1     2     2
44 	   1     1     1     1     2
45 	   0     1     1     2     2
46 	   0     1     1     2     2
47 	   1     2     3     4     5
48 	   0     1     1     2     2
49 	   1     1     1     2     2
50 	   1     1     1     2     2
51 	   1     1     2     3     4
52 	   0     1     2     3     4
53 	   0     1     2     3     4
54 	   1     1     2     3     4
55 	   1     1     2     3     4
56 	   1     1     2     3     4
58 	   0     1	   2     2     2
57 	   0     1	   2     2     2
59 	   0     1     1     2     2
60 	   0     1     1     2     2
61 	   1     1     1     2     2
62 	   0     2     3     4     5
63 	   1     3     4     6     8
64 	   1     2     3     4     6
65 	   1     3     4     6     8
66 	   1     1     1     2     2
67 	   1     0     0     0     0
68 	   0     1     2     3     4
69 	   0     1     2     3     4
70 	   0     2     3     4     5
71 	   0     1     1     2     2
72 	   1     1     1     2     2
73 	   1     3     4     6     8
74 	   1     3     4     6     8
75 	   1     1     1     2     2
76 	   1     1     1     2     2
77 	   0     1     1     1     2
78 	   0     1     1     2     2
79 	   0     1     1     2     2
80 	   1     2     3     4     5
81 	   1     1     1     2     2
82 	   1     1     1     2     2
83 	   0     1     1     2     2
84 	   1     1     2     3     4
85 	   0     1     2     3     4
86 	   1     1     2     3     4
87 	   1     1     2     3     4
88 	   1     1     2     3     4
89 	   1     1     2     3     4
90 	   0     1	   2     2     2
91 	   0     1	   2     2     2
92 	   0     1     1     2     2
93 	   0     1     1     2     2
94 	   1     1     1     2     2
95 	   0     2     3     4     5
96 	   1     3     4     6     8
97 	   1     2     3     4     6
98 	   1     3     4     6     8
99 	   1     1     1     2     2
100	   1     0     0     0     0
101	   1     1     2     3     4
102    0     1     2     3     4
103    0     2     3     4     5
104    0     1     1     2     2
105    0     1     1     2     2
106    1     3     4     6     8
107    1     3     4     6     8
108    1     1     1     2     2
109    1     1     1     2     2
110    1     1     1     1     2
111    0     1     1     2     2
112    0     1     1     2     2
113    0     2     3     4     5
114    1     1     1     2     2
115    1     1     1     2     2
116    1     1     1     2     2
117    0     1     2     3     4
118    1     1     2     3     4
119    0     1     2     3     4
120    1     1     2     3     4
121    1     1     2     3     4
122    1     1     2     3     4
123    1     1	   2     2     2
124    0     1	   2     2     2
125    0     1     1     2     2
126    0     1     1     2     2
127    0     1     1     2     2
128    1     2     3     4     5
129    0     3     4     6     8
130    1     2     3     4     6
131    1     3     4     6     8
132    1     1     1     2     2
133    1     1     1     2     2	
134    1	 1     1     2     2
;      

param P_ext :=
  0 0 
  1 0.04999999 
  2 0.05 
  3 0.2 
  4 1 
  ;

param uq_ext :=
  0  0 
  1  0 
  2  0.11 
  3  0.44 
  4  0.44
  ;

param Vp_ext :=
  0 0.6400 #0.80
  1 0.8464 #0.92
  2 0.9604 #0.98
  3 1.0404 #1.02
  4 1.1664 #1.08
  5 1.4400 #1.20
  ;

param Qp_ext :=
  0  1 #0.44
  1  1 #0.44
  2  0     
  3  0     
  4 -1 #0.44
  5 -1 #0.44
  ;
  
param pen :=
  1  0 
  2  3.0e-5#4*1e-5   # 0.6 
  3  7.2e-5#7.3*1e-5 # 1.1 
  4  15e-5#2*1e-4   # 3.0 
  5  40e-5  #4.7*1e-4 # 7   
  6  100e-5 #1e-3     # 15  
  ;


let{(t,s) in SC} CostE_sell[t,s] := 1.2*CostE_buy[t,s]; 
let CostE_PV := 70;     # $/MWh
let CostUse := 2500;     # $/MW ?/year
let CostConnec := 3500;  # $/MW
#let cardPER := card(PER);

/* param CB_list := 
1 	4	
2 	7	
3 	14	
4 	19	
5 	25	
6 	29	
7 	30	
8 	31;
display CB_list; */
